Time,Time Code,Country Name,Country Code,Combined polity score [UPP.COM.POL.XQ],,
2010,YR2010,"Congo, Dem. Rep.",COD,5,,
2011,YR2011,"Congo, Dem. Rep.",COD,5,,
2012,YR2012,"Congo, Dem. Rep.",COD,..,,
1990,YR1990,"Congo, Rep.",COG,-8,,
2000,YR2000,"Congo, Rep.",COG,-6,,
2003,YR2003,"Congo, Rep.",COG,-4,,
2004,YR2004,"Congo, Rep.",COG,-4,,
2005,YR2005,"Congo, Rep.",COG,-4,,
2006,YR2006,"Congo, Rep.",COG,-4,,
2007,YR2007,"Congo, Rep.",COG,-4,,
2008,YR2008,"Congo, Rep.",COG,-4,,
2009,YR2009,"Congo, Rep.",COG,-4,,
2010,YR2010,"Congo, Rep.",COG,-4,,
2011,YR2011,"Congo, Rep.",COG,-4,,
2012,YR2012,"Congo, Rep.",COG,..,,
1990,YR1990,Cote d'Ivoire,CIV,-7,,
2000,YR2000,Cote d'Ivoire,CIV,4,,
2003,YR2003,Cote d'Ivoire,CIV,-77,,
2004,YR2004,Cote d'Ivoire,CIV,-77,,
2005,YR2005,Cote d'Ivoire,CIV,-77,,
2006,YR2006,Cote d'Ivoire,CIV,-77,,
2007,YR2007,Cote d'Ivoire,CIV,-88,,
2008,YR2008,Cote d'Ivoire,CIV,-88,,
2009,YR2009,Cote d'Ivoire,CIV,-88,,
2010,YR2010,Cote d'Ivoire,CIV,-77,,
2011,YR2011,Cote d'Ivoire,CIV,4,,
2012,YR2012,Cote d'Ivoire,CIV,..,,
1990,YR1990,Djibouti,DJI,-8,,
2000,YR2000,Djibouti,DJI,2,,
2003,YR2003,Djibouti,DJI,2,,
2004,YR2004,Djibouti,DJI,2,,
2005,YR2005,Djibouti,DJI,2,,
2006,YR2006,Djibouti,DJI,2,,
2007,YR2007,Djibouti,DJI,2,,
2008,YR2008,Djibouti,DJI,2,,
2009,YR2009,Djibouti,DJI,2,,
2010,YR2010,Djibouti,DJI,2,,
2011,YR2011,Djibouti,DJI,2,,
2012,YR2012,Djibouti,DJI,..,,
1990,YR1990,"Egypt, Arab Rep.",EGY,-6,,
2000,YR2000,"Egypt, Arab Rep.",EGY,-6,,
2003,YR2003,"Egypt, Arab Rep.",EGY,-6,,
2004,YR2004,"Egypt, Arab Rep.",EGY,-6,,
2005,YR2005,"Egypt, Arab Rep.",EGY,-3,,
2006,YR2006,"Egypt, Arab Rep.",EGY,-3,,
2007,YR2007,"Egypt, Arab Rep.",EGY,-3,,
2008,YR2008,"Egypt, Arab Rep.",EGY,-3,,
2009,YR2009,"Egypt, Arab Rep.",EGY,-3,,
2010,YR2010,"Egypt, Arab Rep.",EGY,-3,,
2011,YR2011,"Egypt, Arab Rep.",EGY,-2,,
2012,YR2012,"Egypt, Arab Rep.",EGY,..,,
1990,YR1990,Equatorial Guinea,GNQ,-7,,
2000,YR2000,Equatorial Guinea,GNQ,-5,,
2003,YR2003,Equatorial Guinea,GNQ,-5,,
2004,YR2004,Equatorial Guinea,GNQ,-5,,
2005,YR2005,Equatorial Guinea,GNQ,-5,,
2006,YR2006,Equatorial Guinea,GNQ,-5,,
2007,YR2007,Equatorial Guinea,GNQ,-5,,
2008,YR2008,Equatorial Guinea,GNQ,-5,,
2009,YR2009,Equatorial Guinea,GNQ,-5,,
2010,YR2010,Equatorial Guinea,GNQ,-5,,
2011,YR2011,Equatorial Guinea,GNQ,-5,,
2012,YR2012,Equatorial Guinea,GNQ,..,,
1990,YR1990,Eritrea,ERI,..,,
2000,YR2000,Eritrea,ERI,-6,,
2003,YR2003,Eritrea,ERI,-7,,
2004,YR2004,Eritrea,ERI,-7,,
2005,YR2005,Eritrea,ERI,-7,,
2006,YR2006,Eritrea,ERI,-7,,
2007,YR2007,Eritrea,ERI,-7,,
2008,YR2008,Eritrea,ERI,-7,,
2009,YR2009,Eritrea,ERI,-7,,
2010,YR2010,Eritrea,ERI,-7,,
2011,YR2011,Eritrea,ERI,-7,,
2012,YR2012,Eritrea,ERI,..,,
1990,YR1990,Ethiopia,ETH,-8,,
2000,YR2000,Ethiopia,ETH,1,,
2003,YR2003,Ethiopia,ETH,1,,
2004,YR2004,Ethiopia,ETH,1,,
2005,YR2005,Ethiopia,ETH,1,,
2006,YR2006,Ethiopia,ETH,1,,
2007,YR2007,Ethiopia,ETH,1,,
2008,YR2008,Ethiopia,ETH,1,,
2009,YR2009,Ethiopia,ETH,1,,
2010,YR2010,Ethiopia,ETH,1,,
2011,YR2011,Ethiopia,ETH,1,,
2012,YR2012,Ethiopia,ETH,..,,
1990,YR1990,Gabon,GAB,-88,,
2000,YR2000,Gabon,GAB,-4,,
2003,YR2003,Gabon,GAB,-4,,
2004,YR2004,Gabon,GAB,-4,,
2005,YR2005,Gabon,GAB,-4,,
2006,YR2006,Gabon,GAB,-4,,
2007,YR2007,Gabon,GAB,-4,,
2008,YR2008,Gabon,GAB,-4,,
2009,YR2009,Gabon,GAB,3,,
2010,YR2010,Gabon,GAB,3,,
2011,YR2011,Gabon,GAB,3,,
2012,YR2012,Gabon,GAB,..,,
1990,YR1990,"Gambia, The",GMB,8,,
2000,YR2000,"Gambia, The",GMB,-5,,
2003,YR2003,"Gambia, The",GMB,-5,,
2004,YR2004,"Gambia, The",GMB,-5,,
2005,YR2005,"Gambia, The",GMB,-5,,
2006,YR2006,"Gambia, The",GMB,-5,,
2007,YR2007,"Gambia, The",GMB,-5,,
2008,YR2008,"Gambia, The",GMB,-5,,
2009,YR2009,"Gambia, The",GMB,-5,,
2010,YR2010,"Gambia, The",GMB,-5,,
2011,YR2011,"Gambia, The",GMB,-5,,
2012,YR2012,"Gambia, The",GMB,..,,
1990,YR1990,Ghana,GHA,-7,,
2000,YR2000,Ghana,GHA,2,,
2003,YR2003,Ghana,GHA,6,,
2004,YR2004,Ghana,GHA,8,,
2005,YR2005,Ghana,GHA,8,,
2006,YR2006,Ghana,GHA,8,,
2007,YR2007,Ghana,GHA,8,,
2008,YR2008,Ghana,GHA,8,,
2009,YR2009,Ghana,GHA,8,,
2010,YR2010,Ghana,GHA,8,,
2011,YR2011,Ghana,GHA,8,,
2012,YR2012,Ghana,GHA,..,,
1990,YR1990,Guinea,GIN,-7,,
2000,YR2000,Guinea,GIN,-1,,
2003,YR2003,Guinea,GIN,-1,,
2004,YR2004,Guinea,GIN,-1,,
2005,YR2005,Guinea,GIN,-1,,
2006,YR2006,Guinea,GIN,-1,,
2007,YR2007,Guinea,GIN,-1,,
2008,YR2008,Guinea,GIN,-1,,
2009,YR2009,Guinea,GIN,-1,,
2010,YR2010,Guinea,GIN,5,,
2011,YR2011,Guinea,GIN,5,,
2012,YR2012,Guinea,GIN,..,,
1990,YR1990,Guinea-Bissau,GNB,-8,,
2000,YR2000,Guinea-Bissau,GNB,5,,
2003,YR2003,Guinea-Bissau,GNB,-1,,
2004,YR2004,Guinea-Bissau,GNB,-1,,
2005,YR2005,Guinea-Bissau,GNB,6,,
2006,YR2006,Guinea-Bissau,GNB,6,,
2007,YR2007,Guinea-Bissau,GNB,6,,
2008,YR2008,Guinea-Bissau,GNB,6,,
2009,YR2009,Guinea-Bissau,GNB,6,,
2010,YR2010,Guinea-Bissau,GNB,6,,
2011,YR2011,Guinea-Bissau,GNB,6,,
2012,YR2012,Guinea-Bissau,GNB,..,,
1990,YR1990,Kenya,KEN,-7,,
2000,YR2000,Kenya,KEN,-2,,
2003,YR2003,Kenya,KEN,8,,
2004,YR2004,Kenya,KEN,8,,
2005,YR2005,Kenya,KEN,8,,
2006,YR2006,Kenya,KEN,8,,
2007,YR2007,Kenya,KEN,7,,
2008,YR2008,Kenya,KEN,7,,
2009,YR2009,Kenya,KEN,7,,
2010,YR2010,Kenya,KEN,8,,
2011,YR2011,Kenya,KEN,8,,
2012,YR2012,Kenya,KEN,..,,
1990,YR1990,Lesotho,LSO,-7,,
2000,YR2000,Lesotho,LSO,-88,,
2003,YR2003,Lesotho,LSO,8,,
2004,YR2004,Lesotho,LSO,8,,
2005,YR2005,Lesotho,LSO,8,,
2006,YR2006,Lesotho,LSO,8,,
2007,YR2007,Lesotho,LSO,8,,
2008,YR2008,Lesotho,LSO,8,,
2009,YR2009,Lesotho,LSO,8,,
2010,YR2010,Lesotho,LSO,8,,
2011,YR2011,Lesotho,LSO,8,,
2012,YR2012,Lesotho,LSO,..,,
1990,YR1990,Liberia,LBR,-77,,
2000,YR2000,Liberia,LBR,0,,
2003,YR2003,Liberia,LBR,-88,,
2004,YR2004,Liberia,LBR,-88,,
2005,YR2005,Liberia,LBR,-88,,
2006,YR2006,Liberia,LBR,6,,
2007,YR2007,Liberia,LBR,6,,
2008,YR2008,Liberia,LBR,6,,
2009,YR2009,Liberia,LBR,6,,
2010,YR2010,Liberia,LBR,6,,
2011,YR2011,Liberia,LBR,6,,
2012,YR2012,Liberia,LBR,..,,
1990,YR1990,Libya,LBY,-7,,
2000,YR2000,Libya,LBY,-7,,
2003,YR2003,Libya,LBY,-7,,
2004,YR2004,Libya,LBY,-7,,
2005,YR2005,Libya,LBY,-7,,
2006,YR2006,Libya,LBY,-7,,
2007,YR2007,Libya,LBY,-7,,
2008,YR2008,Libya,LBY,-7,,
2009,YR2009,Libya,LBY,-7,,
2010,YR2010,Libya,LBY,-7,,
2011,YR2011,Libya,LBY,-77,,
2012,YR2012,Libya,LBY,..,,
1990,YR1990,Madagascar,MDG,-6,,
2000,YR2000,Madagascar,MDG,7,,
2003,YR2003,Madagascar,MDG,7,,
2004,YR2004,Madagascar,MDG,7,,
2005,YR2005,Madagascar,MDG,7,,
2006,YR2006,Madagascar,MDG,7,,
2007,YR2007,Madagascar,MDG,7,,
2008,YR2008,Madagascar,MDG,7,,
2009,YR2009,Madagascar,MDG,0,,
2010,YR2010,Madagascar,MDG,0,,
2011,YR2011,Madagascar,MDG,3,,
2012,YR2012,Madagascar,MDG,..,,
1990,YR1990,Malawi,MWI,-9,,
2000,YR2000,Malawi,MWI,6,,
2003,YR2003,Malawi,MWI,5,,
2004,YR2004,Malawi,MWI,6,,
2005,YR2005,Malawi,MWI,6,,
2006,YR2006,Malawi,MWI,6,,
2007,YR2007,Malawi,MWI,6,,
2008,YR2008,Malawi,MWI,6,,
2009,YR2009,Malawi,MWI,6,,
2010,YR2010,Malawi,MWI,6,,
2011,YR2011,Malawi,MWI,6,,
2012,YR2012,Malawi,MWI,..,,
1990,YR1990,Mali,MLI,-7,,
2000,YR2000,Mali,MLI,6,,
2003,YR2003,Mali,MLI,7,,
2004,YR2004,Mali,MLI,7,,
2005,YR2005,Mali,MLI,7,,
2006,YR2006,Mali,MLI,7,,
2007,YR2007,Mali,MLI,7,,
2008,YR2008,Mali,MLI,7,,
2009,YR2009,Mali,MLI,7,,
2010,YR2010,Mali,MLI,7,,
2011,YR2011,Mali,MLI,7,,
2012,YR2012,Mali,MLI,..,,
1990,YR1990,Mauritania,MRT,-7,,
2000,YR2000,Mauritania,MRT,-6,,
2003,YR2003,Mauritania,MRT,-6,,
2004,YR2004,Mauritania,MRT,-6,,
2005,YR2005,Mauritania,MRT,-5,,
2006,YR2006,Mauritania,MRT,-3,,
2007,YR2007,Mauritania,MRT,4,,
2008,YR2008,Mauritania,MRT,-5,,
2009,YR2009,Mauritania,MRT,-2,,
2010,YR2010,Mauritania,MRT,-2,,
2011,YR2011,Mauritania,MRT,-2,,
2012,YR2012,Mauritania,MRT,..,,
1990,YR1990,Mauritius,MUS,10,,
2000,YR2000,Mauritius,MUS,10,,
2003,YR2003,Mauritius,MUS,10,,
2004,YR2004,Mauritius,MUS,10,,
2005,YR2005,Mauritius,MUS,10,,
2006,YR2006,Mauritius,MUS,10,,
2007,YR2007,Mauritius,MUS,10,,
2008,YR2008,Mauritius,MUS,10,,
2009,YR2009,Mauritius,MUS,10,,
2010,YR2010,Mauritius,MUS,10,,
2011,YR2011,Mauritius,MUS,10,,
2012,YR2012,Mauritius,MUS,..,,
1990,YR1990,Morocco,MAR,-8,,
2000,YR2000,Morocco,MAR,-6,,
2003,YR2003,Morocco,MAR,-6,,
2004,YR2004,Morocco,MAR,-6,,
2005,YR2005,Morocco,MAR,-6,,
2006,YR2006,Morocco,MAR,-6,,
2007,YR2007,Morocco,MAR,-6,,
2008,YR2008,Morocco,MAR,-6,,
2009,YR2009,Morocco,MAR,-6,,
2010,YR2010,Morocco,MAR,-6,,
2011,YR2011,Morocco,MAR,-4,,
2012,YR2012,Morocco,MAR,..,,
1990,YR1990,Mozambique,MOZ,-7,,
2000,YR2000,Mozambique,MOZ,5,,
2003,YR2003,Mozambique,MOZ,5,,
2004,YR2004,Mozambique,MOZ,5,,
2005,YR2005,Mozambique,MOZ,5,,
2006,YR2006,Mozambique,MOZ,5,,
2007,YR2007,Mozambique,MOZ,5,,
2008,YR2008,Mozambique,MOZ,5,,
2009,YR2009,Mozambique,MOZ,5,,
2010,YR2010,Mozambique,MOZ,5,,
2011,YR2011,Mozambique,MOZ,5,,
2012,YR2012,Mozambique,MOZ,..,,
1990,YR1990,Namibia,NAM,6,,
2000,YR2000,Namibia,NAM,6,,
2003,YR2003,Namibia,NAM,6,,
2004,YR2004,Namibia,NAM,6,,
2005,YR2005,Namibia,NAM,6,,
2006,YR2006,Namibia,NAM,6,,
2007,YR2007,Namibia,NAM,6,,
2008,YR2008,Namibia,NAM,6,,
2009,YR2009,Namibia,NAM,6,,
2010,YR2010,Namibia,NAM,6,,
2011,YR2011,Namibia,NAM,6,,
2012,YR2012,Namibia,NAM,..,,
1990,YR1990,Niger,NER,-7,,
2000,YR2000,Niger,NER,5,,
2003,YR2003,Niger,NER,5,,
2004,YR2004,Niger,NER,6,,
2005,YR2005,Niger,NER,6,,
2006,YR2006,Niger,NER,6,,
2007,YR2007,Niger,NER,6,,
2008,YR2008,Niger,NER,6,,
2009,YR2009,Niger,NER,-3,,
2010,YR2010,Niger,NER,3,,
2011,YR2011,Niger,NER,6,,
2012,YR2012,Niger,NER,..,,
1990,YR1990,Nigeria,NGA,-5,,
2000,YR2000,Nigeria,NGA,4,,
2003,YR2003,Nigeria,NGA,4,,
2004,YR2004,Nigeria,NGA,4,,
2005,YR2005,Nigeria,NGA,4,,
2006,YR2006,Nigeria,NGA,4,,
2007,YR2007,Nigeria,NGA,4,,
2008,YR2008,Nigeria,NGA,4,,
2009,YR2009,Nigeria,NGA,4,,
2010,YR2010,Nigeria,NGA,4,,
2011,YR2011,Nigeria,NGA,4,,
2012,YR2012,Nigeria,NGA,..,,
1990,YR1990,North Africa,NAF,..,,
2000,YR2000,North Africa,NAF,..,,
2003,YR2003,North Africa,NAF,..,,
