Time,Time Code,Country Name,Country Code,Combined polity score [UPP.COM.POL.XQ],,
2011,YR2011,Togo,TGO,-2,,
2012,YR2012,Togo,TGO,..,,
1990,YR1990,Tunisia,TUN,-5,,
2000,YR2000,Tunisia,TUN,-3,,
2003,YR2003,Tunisia,TUN,-4,,
2004,YR2004,Tunisia,TUN,-4,,
2005,YR2005,Tunisia,TUN,-4,,
2006,YR2006,Tunisia,TUN,-4,,
2007,YR2007,Tunisia,TUN,-4,,
2008,YR2008,Tunisia,TUN,-4,,
2009,YR2009,Tunisia,TUN,-4,,
2010,YR2010,Tunisia,TUN,-4,,
2011,YR2011,Tunisia,TUN,-88,,
2012,YR2012,Tunisia,TUN,..,,
1990,YR1990,Uganda,UGA,-7,,
2000,YR2000,Uganda,UGA,-4,,
2003,YR2003,Uganda,UGA,-4,,
2004,YR2004,Uganda,UGA,-4,,
2005,YR2005,Uganda,UGA,-1,,
2006,YR2006,Uganda,UGA,-1,,
2007,YR2007,Uganda,UGA,-1,,
2008,YR2008,Uganda,UGA,-1,,
2009,YR2009,Uganda,UGA,-1,,
2010,YR2010,Uganda,UGA,-1,,
2011,YR2011,Uganda,UGA,-1,,
2012,YR2012,Uganda,UGA,..,,
1990,YR1990,Zambia,ZMB,-9,,
2000,YR2000,Zambia,ZMB,1,,
2003,YR2003,Zambia,ZMB,5,,
2004,YR2004,Zambia,ZMB,5,,
2005,YR2005,Zambia,ZMB,5,,
2006,YR2006,Zambia,ZMB,5,,
2007,YR2007,Zambia,ZMB,5,,
2008,YR2008,Zambia,ZMB,7,,
2009,YR2009,Zambia,ZMB,7,,
2010,YR2010,Zambia,ZMB,7,,
2011,YR2011,Zambia,ZMB,7,,
2012,YR2012,Zambia,ZMB,..,,
1990,YR1990,Zimbabwe,ZWE,-6,,
2000,YR2000,Zimbabwe,ZWE,-3,,
2003,YR2003,Zimbabwe,ZWE,-4,,
2004,YR2004,Zimbabwe,ZWE,-4,,
2005,YR2005,Zimbabwe,ZWE,-4,,
2006,YR2006,Zimbabwe,ZWE,-4,,
2007,YR2007,Zimbabwe,ZWE,-4,,
2008,YR2008,Zimbabwe,ZWE,-4,,
2009,YR2009,Zimbabwe,ZWE,1,,
2010,YR2010,Zimbabwe,ZWE,1,,
2011,YR2011,Zimbabwe,ZWE,1,,
2012,YR2012,Zimbabwe,ZWE,..,,
,,,,,,
,,,,,,
,,,,,,
Data from database: Africa Development Indicators,,,,,,
Last Updated: 02/22/2013,,,,,,
Code,Indicator Name,Short definition,Long definition,Source,Topic,Periodicity
UPP.COM.POL.XQ,Combined polity score,Combined Polity Score: The POLITY score is computed by subtracting the AUTOCRACY score from the DEMOCRACY score; the resulting unified polity scale ranges from +10 (strongly democratic) to -10 (strongly autocratic).,"The Combined Polity score is computed by subtracting the AUTOCRACY score (UPP.INS.AUTO.XQ) from the DEMOCRACY score (UPP.INS.DEMO.XQ); the resulting unified polity scale ranges from +10 (strongly democratic) to -10 (strongly autocratic). Note: The POLITY score was added to the Polity IV data series in recognition of its common usage by users in quantitative research and in the overriding interest of maintaining uniformity among users in this application. The simple combination of the original DEMOC and AUTOC index values in a unitary POLITY scale, in many ways, runs contrary to the original theory stated by Eckstein and Gurr in Patterns of Authority Polity IV Project: Dataset Users’ Manual 17 (1975) and, so, should be treated and interpreted with due caution. Its primary utility is in investigative research which should be augmented by more detailed analysis. The original theory posits that autocratic and democratic authority are distinct patterns of authority, elements of which may co-exist in any particular regime context. The inclusion of this variable in the data series should not be seen as an acceptance of the counter-proposal that autocracy and democracy are alternatives or opposites in a unified authority spectrum, even though elements of this perspective may be implied in the original theory. The POLITY variable provides a convenient avenue for examining general regime effects in analyses but researchers should note that the middle of the implied POLITY “spectrum” is somewhat muddled in terms of the original theory, masking various combinations of DEMOC and AUTOC scores with the same POLITY score. Investigations involving hypotheses of varying effects of democracy and/or autocracy should employ the original Polity scheme and test DEMOC and AUTOC separately.
The Polity IV dataset covers all major, independent states in the global system (i.e., states with total population of 500,000 or more in the most recent year; currently 163 countries) over the period 1800-2009.  Changes made during the most recent update are listed in an Excel file in http://www.systemicpeace.org/inscr/inscr.htm.  For details see Monty G. Marshall, Ted Robert Gurr and Keith Jaggers “POLITY™ IV PROJECT, Political Regime Characteristics and Transitions, 1800-2009, Dataset Users’ Manual”. ","Center for Systemic Peace, www.systemicpeace.org/polity/polity4.htm ",Poverty: Conflict & fragility,Annual
